Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
M0_VB,CT,-,-,macrophage,macrophage,blood,-,macrophage,macrophage
Myeloid_placenta,CT,-,-,myeloid cell,macrophage dendritic cell progenitor,placenta,placenta,myeloid cell line,-
Monocyte_1,CT,-,-,monocyte,monocyte,blood,blood,monocyte,monocyte
GMP1low_LS_BM1137,CT,-,-,granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,bone marrow,bone marrow,myeloid progenitor cell,myeloid progenitor cell
adult_dermal_fibroblasts,CT,-,-,fibroblast of dermis,fibroblast of dermis,dermis,dermis,dermal fibroblast,dermal fibroblast
CD8donorC,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,-,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
Inhibitory_neur_cerebrum_0,CT,-,-,neuron,GABAergic interneuron,brain,obsolete cerebrum,-,-
MPAL2_T1_2,CT,-,-,hematopoietic cell,-,blood,hematopoietic tissue,acute undifferentiated leukemia cell,acute undifferentiated leukemia cell
Mast cell donor4,CT,-,-,mast cell,mast cell,immune system,-,mast cell,mast cell
CD4-positive helper T cell,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,T cell domain,helper T-lymphocyte,helper T-lymphocyte
Endothelial Cells - Umbilical vein donor1,CT,-,-,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical vein,umbilical vein,umbilical vein endothelial cell,umbilical vein endothelial cell
Penis_Foreskin_Fibroblast_Primary_Cells_skin01,CT,-,-,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,foreskin fibroblast cell line,foreskin fibroblast cell line
MPAL1_T1_2,CT,-,-,hematopoietic cell,CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor,blood,bone marrow,acute undifferentiated leukemia cell,acute undifferentiated leukemia cell
subcutaneous adipocytes,CT,-,-,subcutaneous adipocyte,white adipocyte,subcutaneous adipose tissue,subcutaneous adipose tissue,-,white adipocyte
CD4+ CD7- cells_CTCL1043,CT,-,-,T cell,T cell,blood,skin of abdomen,helper T-lymphocyte,helper T-lymphocyte
Esophageal Epithelial Cells donor1,CT,-,-,epithelial cell of esophagus,epithelial cell of esophagus,esophagus,esophagus,esophageal epithelial cell,esophageal epithelial cell
CD34 Erythroid cells_Don002,CT,-,-,erythroid lineage cell,erythroid lineage cell,bone marrow,bone marrow,erythroid cell,erythroid cell
Adipocyte - subcutaneous donor3,CT,-,-,subcutaneous adipocyte,subcutaneous adipocyte,subcutaneous adipose tissue,subcutaneous adipose tissue,subcutaneous adipose tissue,subcutaneous adipose tissue
tamoxifen_EC9,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,blood vessel endothelium,endothelial cell,endothelial cell
human_cardiac_fibroblasts-adult_atrial,CT,-,-,fibroblast of cardiac tissue,fibroblast of cardiac tissue,heart,cardiac atrium,cardiofibroblast,cardiofibroblast
Matrix_Fibrob_2_A,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
Induced-regulatory-T-cells_DMSO,CT,-,-,induced T-regulatory cell,induced T-regulatory cell,immune system,T cell domain,regulatory T-lymphocyte,regulatory T-lymphocyte
Macrophages_C,CT,-,-,macrophage,macrophage,blood,-,macrophage,macrophage
Parathyroid_adenoma,CT,-,-,parathyroid glandular cell,parathyroid glandular cell,parathyroid gland,parathyroid gland,parathyroid hormone secreting cell,parathyroid hormone secreting cell
Red blood cells,CT,-,-,erythrocyte,erythrocyte,blood,circulatory system,erythrocyte,erythrocyte
Pericytes_E,CT,-,-,pericyte,pericyte,connective tissue,microcirculatory vessel,pericyte,pericyte
GBM29,CT,GBM cell,-,glial cell,-,brain,central nervous system,glioblastoma cell,glioblastoma cell
Club-F,CT,-,-,club cell,lung secretory cell,lung,epithelium of respiratory bronchiole,bronchial epithelial cell,bronchial epithelial cell
p7-CLL-patient_CD74,CT,-,-,hematopoietic cell,"lymphocyte of B lineage, CD19-positive",blood,blood,B-cell chronic lymphocytic leukemia cell,B-cell chronic lymphocytic leukemia cell
Im-GCT-3504_G34W-repair_WT_4C7,CT,-,-,-,-,bone tissue,bone tissue,-,giant cell tumor cell line
Bone Marrow Derived Cultured Mesenchymal Stem Cells,CT,-,-,mesenchymal stem cell of the bone marrow,mesenchymal stem cell of the bone marrow,bone marrow,bone marrow,mesenchymal stem cell,mesenchymal stem cell
Megakaryo_adrenal,CT,-,-,megakaryocyte,megakaryocyte,adrenal gland,adrenal gland,megakaryocyte,megakaryocyte
Chondrocyte - de diff donor1,CT,-,-,chondrocyte,chondrocyte,cartilage tissue,cartilage tissue,chondrocyte,chondrocyte
aortic_adventitial_fibroblasts,CT,-,-,fibroblast of the aortic adventitia,fibroblast of the aortic adventitia,tunica adventitia of artery,tunica adventitia of artery,aortic adventitial fibroblast,aortic adventitial fibroblast
Endothelial Cells - Aortic donor0,CT,-,-,aortic endothelial cell,aortic endothelial cell,aorta,aorta,aortic endothelial cell,aortic endothelial cell
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02,CT,-,-,foreskin keratinocyte,foreskin keratinocyte,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
NH-A_Astrocytes,CT,-,-,astrocyte,astrocyte,central nervous system,central nervous system,astrocyte,astrocyte
CD8_EM_healthy,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,blood,cytotoxic T-lymphocyte,-
CD34_bone_marrow_cell-derived_erythroid_progenitors,CT,-,-,erythroid progenitor cell,erythroid progenitor cell,bone marrow,bone marrow,erythroid progenitor cell,erythroid progenitor cell
prostate_cancer,CT,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate gland cancer cell,prostate adenocarcinoma cell line
acute myeloid leukemia,CT,-,-,myeloid cell,myeloid cell,blood,bone marrow,acute myeloid leukemia cell,acute myeloid leukemia cell
GBM03,CT,GBM cell,-,glial cell,-,brain,brain,glioblastoma multiforme cell line,glioblastoma multiforme cell line
hMSC,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,bone marrow,-,mesenchymal stem cell,mesenchymal stem cell
PBMC_Rep1-CD34,CT,-,-,peripheral blood mononuclear cell,"CD34-positive, CD38-negative hematopoietic stem cell",blood,blood,-,culture condition:CD34+ cell
Th17-IL-10- Day 0,CT,-,-,T-helper 17 cell,T-helper 17 cell,immune system,-,Th17 cell,Th17 cell
BI_CD4p_CD25-_Il17p_PMAstim_Th17,CT,-,-,T-helper 17 cell,T-helper 17 cell,immune system,-,Th17 cell,Th17 cell
MEP,CT,-,-,megakaryocyte-erythroid progenitor cell,megakaryocyte-erythroid progenitor cell,bone marrow,hematopoietic tissue,erythroid progenitor cell,erythroid progenitor cell
CD8+ T Cells donor1,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,blood,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
Astrocyte - cerebellum donor1,CT,-,-,astrocyte of the cerebellum,astrocyte of the cerebellum,cerebellum,cerebellum,astrocyte,astrocyte
Fibroblast - Dermal donor4,CT,-,-,fibroblast of dermis,fibroblast of dermis,dermis,dermis,dermal fibroblast,dermal fibroblast
Human Bronchial Epithelial Cell,CT,-,-,bronchial epithelial cell,bronchial epithelial cell,bronchus,bronchus,bronchial epithelial cell,bronchial epithelial cell
Human CD34+ Hematopoietic Stem/Progenitor Cell,CT,-,-,hematopoietic stem cell,"CD34-positive, CD38-negative multipotent progenitor cell",bone marrow,bone marrow,hematopoietic stem cell,hematopoietic stem cell
iPS derived pancreatic precursor cells_Lane2,CT,-,-,precursor cell,precursor cell,pancreas,pancreas,-,pancreatic PP cell
NHEK-Epidermal Keratinocyte Primary Cells,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,NHEK cell,keratinocyte
Hindbrain derived neural stem cells_NS19_H3.3K27M,CT,-,-,neural stem cell,neural stem cell,hindbrain,hindbrain,neural stem cell,neural stem cell line
iPS_derived_pancreatic_precursor_cells,CT,-,-,precursor cell,precursor cell,pancreas primordium,pancreas primordium,-,-
Smooth_muscle_placenta,CT,-,-,smooth muscle cell of placenta,smooth muscle cell of placenta,placenta,placenta,smooth muscle cell,smooth muscle cell
Fibroblast - Aortic Adventitial donor3,CT,-,-,fibroblast of the aortic adventitia,fibroblast of the aortic adventitia,tunica adventitia of artery,aorta,aortic adventitial fibroblast,aortic adventitial fibroblast
Endothelial Cells - Artery donor1,CT,-,-,endothelial cell of artery,endothelial cell of artery,artery,artery,arterial endothelial cell,arterial endothelial cell
foreskin_keratinocyte_2,CT,-,-,foreskin keratinocyte,-,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
visceral adipocytes,CT,-,-,adipocyte,adipocyte,visceral fat,visceral fat,adipocyte,adipocyte
P286_Primary_DLBCL,CT,-,-,B cell,lymphocyte of B lineage,blood,lymph node,diffuse large B-cell lymphoma cell,diffuse large B-cell lymphoma cell
HTBE_H3N2_12h,CT,-,-,epithelial cell of tracheobronchial tree,epithelial cell of tracheobronchial tree,tracheobronchial tree,tracheobronchial tree,tracheobronchial epithelial cell,tracheobronchial epithelial cell
RPE,CT,-,-,retinal pigment epithelial cell,retinal pigment epithelial cell,retina,retina,retinal pigment epithelium cell,retinal pigment epithelium cell
NHDF-Ad_Adult_Dermal_Fibroblasts,CT,-,-,skin fibroblast,-,dermis,dermis,dermal fibroblast,dermal fibroblast
NKC,CT,-,-,natural killer cell,natural killer cell,immune system,venous blood,natural killer cell,natural killer cell
T-cell,CT,-,-,T cell,T cell,blood,lymphoid tissue,T-lymphocyte,T-lymphocyte
Stromal_heart_3,CT,-,-,stromal cell,fibroblast of cardiac tissue,heart,heart,mesenchymal stromal cell,mesenchymal stromal cell
Lens Epithelial Cells donor1,CT,-,-,lens epithelial cell,lens epithelial cell,epithelium of lens,lens of camera-type eye,human lens epithelial cell line,human lens epithelial cell line
hNPCs_K755R/+,CT,-,-,chondrocyte,neural progenitor cell,nucleus pulposus,central nervous system,HNPC cell,neural stem cell
CD36+,CT,-,-,erythroid progenitor cell,-,bone marrow,-,-,-
CD4+CD25-CD45RA+ naive conventional T cells donor1,CT,-,-,naive T cell,naive T cell,thymus,venous blood,-,-
Horizontal_Amacrine_eye,CT,-,-,amacrine cell,amacrine cell,retina,retina,amacrine cell,horizontal cell
immature langerhans cells donor1,CT,-,-,Langerhans cell,Langerhans cell,immune system,skin epidermis,Langerhans cell,Langerhans cell
CD34 Erythroid cells_Don003,CT,-,-,erythroid lineage cell,"CD34-positive, GlyA-negative erythroid progenitor cell",bone marrow,bone marrow,erythroid cell,erythroid cell
cDC_healthy,CT,-,-,dendritic cell,dendritic cell,immune system,-,dendritic cell,dendritic cell
Day6 Plasmablast CD23- memory B cell_G9A-Inhibited,CT,-,-,plasmablast,CD86-positive plasmablast,immune system,-,plasma cell,plasma cell
Fibroblast cells,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
mesenchymal precursor cell - bone marrow donor3,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,bone marrow,bone marrow,mesenchymal stem cell,mesenchymal stem cell
Matrix_Fibrob_1_B,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
Undifferentiated Pleomorphic Sarcoma,CT,-,-,-,-,connective tissue,connective tissue,pleomorphic adenoma cell,pleomorphic adenoma cell
EPC_VB,CT,-,-,adult endothelial progenitor cell,adult endothelial progenitor cell,bone marrow,venous blood,endothelial progenitor cell,endothelial progenitor cell
UMUC1_sonic_pSIN-puro_EV,CT,-,-,bladder cell,bladder cell,urinary bladder,urinary bladder,UM-UC-1 cell,urinary bladder transitional cell carcinoma cell line
CD4+ ab T,CT,-,-,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta T cell",immune system,-,-,culture condition:CD4+ cell
ASC,CT,-,-,adipocyte,adipocyte,adipose tissue,adipose tissue,adipocyte,adipocyte
MSC_VB,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,blood,vertebra,mesenchymal stem cell,mesenchymal stem cell
tamoxifen_EC11,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,blood vessel endothelium,-,arterial endothelial cell
hNPCs_R1159Q/+,CT,-,-,chondrocyte,neural progenitor cell,nucleus pulposus,central nervous system,HNPC cell,neural stem cell
Ciliated_cells_D,CT,-,-,ciliated cell,multiciliated epithelial cell,lung,ciliated epithelium,-,epithelial cell
EX_cerebrum_3,CT,-,-,neuron,cerebral cortex glial cell,brain,obsolete cerebrum,astroglial cell,astroglial cell
Corneal Epithelial Cells donor1,CT,-,-,corneal epithelial cell,corneal epithelial cell,cornea,cornea,corneal epithelial cell,corneal epithelial cell
Stromal_lung_5,CT,-,-,stromal cell,stromal cell,lung,lung,stromal cell,stromal cell
Primary T CD8+ memory cells from peripheral blood,CT,-,-,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell",blood,blood,memory T-lymphocyte,memory T-lymphocyte
NK_cells_F,CT,-,-,natural killer cell,natural killer cell,immune system,venous blood,natural killer cell,natural killer cell
CD4+ cells_CTCL1145,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,skin of body,helper T-lymphocyte,helper T-lymphocyte
Monocytes-CD14+_RO01746,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
Stromal_lung_1,CT,-,-,stromal cell,stromal cell,lung,lung,stromal cell,stromal cell
NK_cells_J,CT,-,-,natural killer cell,natural killer cell,immune system,cell group,natural killer cell,natural killer cell
lymphocyte,CT,-,-,lymphocyte,lymphocyte,blood,lymphatic part of lymphoid system,lymphocyte,lymphocyte
CD4+ T Cells donor2,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,T cell domain,helper T-lymphocyte,helper T-lymphocyte
Erythrob_adrenal,CT,-,-,erythroblast,erythroblast,adrenal gland,adrenal gland,erythroblast,erythroblast
HUES64_derived_CD184+,CT,-,-,endodermal cell,endodermal cell,endoderm,endoderm,endoderm,endoderm
GSC,CT,-,-,neural stem cell,neural stem cell,central nervous system,central nervous system,GSC cell line,glioblastoma multiforme cancer stem cell
HSC_liver,CT,-,-,hematopoietic stem cell,hepatic stellate cell,liver,liver,hematopoietic stem cell,hepatic stellate cell
Im-GCT-4072_G34W-repair_WT_A4,CT,-,-,-,neoplastic cell,bone tissue,bone tissue of epiphysis,-,giant cell tumor cell line
non-tamoxifen_EC5,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,endothelium,endothelial cell,endothelial cell
Tfh_BCC,CT,-,-,T follicular helper cell,T follicular helper cell,lymph node,skin epithelium,helper T-lymphocyte,helper T-lymphocyte
Hepatocyte donor2,CT,-,-,hepatocyte,hepatocyte,liver,liver,hepatocyte,hepatocyte
Urothelial Cells donor1,CT,-,-,urothelial cell,urothelial cell,urinary bladder,urinary bladder,uroepithelial cell,uroepithelial cell
Mallassez-derived cells donor3,CT,-,-,epithelial cell of Malassez,epithelial cell of Malassez,periodontal ligament,periodontal ligament,epithelial cell,epithelial cell
Syn_vil_cytoTrophobs_placenta_0,CT,-,-,stem cell,placental villous trophoblast,placenta,placenta,villous syncytiotrophoblast,villous syncytiotrophoblast
Stromal_lung_3,CT,-,-,stromal cell,stromal cell,lung,lung,-,lung fibroblast
Matrix_Fibrob_2_B,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
Primary hematopoietic stem cells,CT,-,-,hematopoietic stem cell,hematopoietic stem cell,bone marrow,hematopoietic tissue,hematopoietic stem cell,hematopoietic stem cell
Skeletal muscle cells differentiated into Myotubes - multinucleated donor1,CT,-,-,myotube,myotube,muscle structure,muscle structure,skeletal muscle cell,skeletal muscle cell
tamoxifen_EC8,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,endothelium,endothelial cell,endothelial cell
Central_Memo_CD8_T,CT,-,-,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell",immune system,-,-,-
Matrix_Fibrob_1_G,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
MM011_Primary_Melanoma,CT,-,-,melanocyte,melanocyte,skin epidermis,skin epidermis,melanoma cell,melanoma cell
endometrial_stromal_cells,CT,-,-,stromal cell of endometrium,stromal cell of endometrium,endometrium,endometrium,endometrial stromal cell,endometrial stromal cell
Epithelial_intestine_2,CT,-,-,intestinal epithelial cell,intestinal epithelial cell,intestine,intestine,intestinal epithelial cell,intestinal epithelial cell
hASC_preadipocytes,CT,-,-,preadipocyte,preadipocyte,connective tissue,adipose tissue,preadipocyte,adipose-derived stromal cell
keratinocytes_Mi2KD,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,keratinocyte,keratinocyte
Memory_CD4_T_t,CT,-,-,"CD4-positive, alpha-beta memory T cell","CD4-positive, alpha-beta memory T cell",immune system,-,-,culture condition:CD4+ cell
FiPSC,CT,-,-,pluripotent stem cell,pluripotent stem cell,-,connective tissue,pluripotent stem cell,pluripotent stem cell
epithelial_cell_of_proximal_tubule,CT,-,-,epithelial cell of proximal tubule,epithelial cell of proximal tubule,proximal tubule,proximal tubule,renal proximal tubule epithelial cell,renal proximal tubule epithelial cell
CD14+ monocyte derived endothelial progenitor cells donor1,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,endothelial progenitor cell
GBM32,CT,GBM cell,-,glial cell,malignant cell,brain,central nervous system,glioma cell,glioma cell
Stromal_muscle_2,CT,-,-,stromal cell,fibro/adipogenic progenitor cell,muscle structure,muscle structure,-,fibro-adipogenic progenitor cell
Monocyte,CT,-,-,monocyte,"CD14-positive, CD16-negative classical monocyte",blood,bone marrow,monocyte,monocyte
CD16_Mono,CT,-,-,"CD14-positive, CD16-positive monocyte","CD14-low, CD16-positive monocyte",blood,blood,monocyte,monocyte
Treg,CT,-,-,regulatory T cell,regulatory T cell,immune system,immune system,regulatory T-lymphocyte,regulatory T-lymphocyte
Capillary_2_E,CT,-,-,capillary endothelial cell,capillary endothelial cell,endothelium of capillary,endothelium of capillary,capillary endothelial cell,capillary endothelial cell
Astrocytes,CT,-,-,astrocyte,astrocyte,central nervous system,central nervous system,astrocyte,astrocyte
MPAL2_T2_2,CT,-,-,hematopoietic cell,hematopoietic multipotent progenitor cell,blood,bone marrow,acute undifferentiated leukemia cell,acute undifferentiated leukemia cell
Vascular_endo_adrenal,CT,-,-,endothelial cell of vascular tree,endothelial cell of vascular tree,adrenal gland,adrenal gland,vascular endothelial cell,vascular endothelial cell
AT1_A,CT,-,-,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,alveolus of lung,alveolus of lung,alveolar cell type I,alveolar cell type I
PBMC,CT,-,-,peripheral blood mononuclear cell,peripheral blood mononuclear cell,blood,blood,peripheral blood mononuclear cell,peripheral blood mononuclear cell
hMADS-3,CT,-,-,multi fate stem cell,multi fate stem cell,adipose tissue,adipose tissue,adipose-derived stem cell,adipose-derived stem cell
HTBE_H1N1_18h,CT,-,-,epithelial cell of tracheobronchial tree,epithelial cell of tracheobronchial tree,tracheobronchial tree,tracheobronchial tree,tracheobronchial epithelial cell,tracheobronchial epithelial cell
leukophereses_p217,CT,-,-,leukocyte,peripheral blood mononuclear cell,blood,blood,leukocyte,peripheral blood mononuclear cell
breast cancer FA,CT,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,mammary ductal carcinoma cell,mammary ductal carcinoma cell
neutrophil_VB,CT,-,-,neutrophil,neutrophil,blood,blood,neutrophil,neutrophil
Smooth Muscle Cells - Subclavian Artery donor2,CT,-,-,smooth muscle cell of the subclavian artery,smooth muscle cell of the subclavian artery,artery smooth muscle tissue,artery smooth muscle tissue,vascular smooth muscle cell,vascular smooth muscle cell
NHEK_siGRHL3,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,NHEK cell,keratinocyte
GBM12,CT,GBM cell,-,glial cell,glioblast,brain,central nervous system,glioblastoma multiforme cell line,glioblastoma multiforme cell line
CD14+ monocytes - treated with lipopolysaccharide donor2,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
GBM15,CT,GBM cell,-,glial cell,glioblast,brain,cerebral hemisphere,glioblastoma cell,glioblastoma cell
GBM09,CT,GBM cell,-,glial cell,malignant cell,brain,central nervous system,glioblastoma multiforme cell line,glioblastoma multiforme cell line
CD19_Primary,CT,-,-,"B cell, CD19-positive","B cell, CD19-positive",blood,blood vasculature,B-lymphocyte,B-lymphocyte
CD19+ B Cells donor3,CT,-,-,"B cell, CD19-positive","B cell, CD19-positive",blood,blood,B-lymphocyte,B-lymphocyte
Gastrointestinal stromal tumor,CT,-,-,neural cell,neural cell,digestive tract,digestive tract,gastrointestinal stromal tumor cell,interstitial cell of Cajal
non-tamoxifen_EC2,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,blood vessel endothelium,endothelial cell,endothelial cell
Fibroblast - Gingival donor1,CT,-,-,fibroblast,fibroblast,gingiva,gingiva,gingival fibroblast,gingival fibroblast
umbilical-cord-derived-mesenchymal-stem-cells_Control_cycle_0,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,umbilical cord,umbilical cord,mesenchymal stem cell,mesenchymal stem cell
osteoblasts,CT,-,-,osteoblast,osteoblast,bone tissue,bone tissue,osteoblast,osteoblast
CD14_monocyte_PB,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
salivary acinar cells donor2,CT,-,-,acinar cell of salivary gland,acinar cell of salivary gland,saliva-secreting gland,saliva-secreting gland,salivary gland cell line,salivary gland cell line
HGPS fibroblast_LMNA_AG11498,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,-,dermal fibroblast
Primary HSCs G-CSF-mobilized female,CT,-,-,hematopoietic stem cell,"CD34-positive, CD38-negative hematopoietic stem cell",bone marrow,bone marrow,-,culture condition:CD34+ cell
leukophereses_p456,CT,-,-,leukocyte,peripheral blood mononuclear cell,blood,blood,leukocyte,peripheral blood mononuclear cell
CiPSC,CT,-,-,pluripotent stem cell,pluripotent stem cell,-,-,pluripotent stem cell,pluripotent stem cell
CD14+ monocytes - mock treated donor1,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
neutrophil (CB),CT,-,-,neutrophil,neutrophil,blood,umbilical cord blood,neutrophil,neutrophil
Myoblast donor1,CT,-,-,myoblast,myoblast,muscle structure,muscle structure,myoblast,L-6 myoblast cell
Vascular_endo_eye,CT,-,-,endothelial cell of vascular tree,endothelial cell of vascular tree,eye,vasculature of eye,vascular endothelial cell,vascular endothelial cell
Lymphatic_endothelial_heart,CT,-,-,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,breast,lymph heart,lymphatic endothelial cell,lymphatic endothelial cell
breast-cancer,CT,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,breast cancer cell,mammary ductal carcinoma cell
B-cell,CT,-,-,B cell,lymphocyte of B lineage,blood,B cell domain,B-lymphocyte,B-lymphocyte
Endothelial Cells (ECs),CT,-,-,endothelial cell,endothelial cell,endothelium,endothelium,endothelial cell,endothelial cell
MLPS_T2,CT,-,-,adipocyte,-,adipose tissue,adipose tissue,-,myxoliposarcoma cell
Foreskin Melanocyte Primary Cells skin03,CT,-,-,foreskin melanocyte,foreskin melanocyte,prepuce of penis,prepuce of penis,foreskin melanocyte cell line,foreskin melanocyte cell line
Pancreatic cancer cells_THZ1,CT,-,-,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,pancreatic cancer cell,pancreatic ductal adenocarcinoma cell line
MPAL2_T1_3,CT,-,-,hematopoietic cell,hematopoietic multipotent progenitor cell,blood,hematopoietic tissue,acute undifferentiated leukemia cell,acute undifferentiated leukemia cell
M1_VB,CT,-,-,macrophage,elicited macrophage,blood,-,M1 macrophage,M1 macrophage
CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,-,Th1 cell,Th17 cell
primary-dermal-fibroblasts,CT,-,-,skin fibroblast,skin fibroblast,dermis,dermis,dermal fibroblast,dermal fibroblast
mammary_epithelial_cell,CT,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,mammary epithelial cell line,mammary epithelial cell line
Natural Killer Cells donor2,CT,-,-,natural killer cell,natural killer cell,immune system,venous blood,natural killer cell,natural killer cell
SGBS_Simpson_Golabi_Behmel_syndrome_type_1_adipocytes,CT,-,-,stromal cell,adipocyte,adipose tissue,adipose tissue,-,adipocyte
HASMC,CT,-,-,aortic smooth muscle cell,aortic smooth muscle cell,aorta smooth muscle tissue,aorta smooth muscle tissue,aortic smooth muscle cell,aortic smooth muscle cell
CD14+ monocytes - treated with Salmonella donor1,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
CD34_adult,CT,-,-,hematopoietic stem cell,"CD34-positive, CD38-negative hematopoietic stem cell",bone marrow,bone marrow,hematopoietic stem cell,hematopoietic stem cell
CD4_T-cells,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,lymphoid tissue,helper T-lymphocyte,helper T-lymphocyte
Keratinocytes,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,keratinocyte,keratinocyte
naive_B_VB,CT,-,-,naive B cell,naive B cell,blood,-,-,-
Dermal fibroblast,CT,-,-,fibroblast of dermis,fibroblast of dermis,dermis,dermis,dermal fibroblast,dermal fibroblast
metastatic_prostate_cancer_tissue,CT,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate epithelium cell line,prostate epithelium cell line
CMP_LS_BM1214,CT,-,-,common myeloid progenitor,common myeloid progenitor,bone marrow,bone marrow,myeloid progenitor cell,myeloid progenitor cell
Osteoblast - differentiated donor1,CT,-,-,osteoblast,osteoblast,bone tissue,bone tissue,osteoblast,osteoblast cell line
Breast vHMEC mammary epithelial,CT,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,mammary epithelial cell,mammary epithelial cell
HDFhuman_dermal_fibroblasts_DMSO,CT,-,-,skin fibroblast,skin fibroblast,dermis,dermis,dermal fibroblast,dermal fibroblast
CM CD4+ ab T (VB),CT,-,-,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta T cell",blood,blood,-,culture condition:CD4+ cell
HSMMtube,CT,-,-,myotube,myotube,muscle structure,muscle structure,-,skeletal muscle cell
Prostate Epithelial Cells donor3,CT,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate cancer cell line,prostate cancer cell line
visceral adipose_CS_H507,CT,-,-,adipocyte,white adipocyte,visceral fat,visceral fat,-,white adipocyte
Primary T regulatory cells (from PB),CT,-,-,regulatory T cell,regulatory T cell,blood,blood,regulatory T-lymphocyte,-
pancreatic cancer cells,CT,-,-,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,pancreatic cancer cell,pancreatic ductal adenocarcinoma cell line
CD4+ cell_UNTREATED,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,venous blood,helper T-lymphocyte,helper T-lymphocyte
Macrophages_D,CT,-,-,macrophage,macrophage,blood,-,macrophage,macrophage
retinal_pigment_epithelial_cell,CT,-,-,retinal pigment epithelial cell,retinal pigment epithelial cell,retina,retina,retinal pigment epithelium cell,retinal pigment epithelium cell
